Order Id,Payment Method,Phone No.,Place Name,Ref Num,Region,Sku,SSN,State,Status,User Name,Year,Zip,Age,Discount Amount,Discount Percent,Price,Qty Ordered,Total,Value
ORD100017,Cash on Delivery,+919154720402,Bangalore,REF50683,North,SKU4583,IN426541,Haryana,Delivered,user_17,FY2020-21,853508,18,3240,45,15142,1,11902,10732.818537799536
ORD100018,Credit Card,+918296627182,Lucknow,REF85617,Central,SKU8820,IN570167,Telangana,Shipped,user_18,FY2020-21,314962,24,4182,3,32424,3,93090,85451.15355459442
ORD100019,UPI,+917796345258,Ahmedabad,REF93446,South,SKU5685,IN601783,Odisha,Cancelled,user_19,FY2020-21,912737,45,4345,12,3566,4,9919,10546.119227024123
ORD100020,UPI,+916736817201,Jaipur,REF36538,South,SKU3675,IN986400,Punjab,Delivered,user_20,FY2020-21,196908,55,4014,35,96916,2,189818,199102.7082477199
ORD100021,Cash on Delivery,+917835208362,Bangalore,REF11317,Central,SKU9628,IN360890,Meghalaya,Returned,user_21,FY2020-21,486964,47,391,37,30570,4,121889,133464.25891856526
ORD100022,Cash on Delivery,+916863814284,Pune,REF34510,West,SKU2684,IN458427,Gujarat,Returned,user_22,FY2020-21,821452,31,2761,41,64410,1,61649,63746.45139606093
ORD100023,UPI,+917209713424,Hyderabad,REF65710,West,SKU2676,IN409639,Assam,Cancelled,user_23,FY2020-21,445559,54,2557,33,5584,1,3027,3265.3997516391946
ORD100024,UPI,+916296613123,Pune,REF70407,North,SKU6288,IN589096,Meghalaya,Cancelled,user_24,FY2020-21,320996,43,907,22,48356,1,47449,44598.28700228424
ORD100025,Cash on Delivery,+919528187801,Chennai,REF81458,North,SKU2109,IN553412,Karnataka,Cancelled,user_25,FY2020-21,777046,37,3790,12,64141,2,124492,132239.15459221075
ORD100026,Cash on Delivery,+917162198834,Jaipur,REF58443,South,SKU4788,IN637215,Madhya Pradesh,Cancelled,user_26,FY2020-21,403991,52,3324,17,82697,3,244767,265974.7327447864
ORD100027,UPI,+917055384029,Chennai,REF33022,South,SKU7955,IN666418,Tripura,Cancelled,user_27,FY2020-21,185702,50,2140,4,79678,2,157216,146694.94454221104
ORD100028,Credit Card,+916267554110,Bangalore,REF45988,Central,SKU5774,IN372609,Chhattisgarh,Shipped,user_28,FY2020-21,573146,23,4379,40,39389,2,74399,72640.80120997071
ORD100029,Credit Card,+916423430296,Lucknow,REF40183,North,SKU6969,IN901833,Tripura,Returned,user_29,FY2020-21,712905,40,2434,30,74123,1,71689,64729.857954999105
ORD100030,Cash on Delivery,+918327137830,Ahmedabad,REF11267,North,SKU7985,IN985592,Haryana,Shipped,user_30,FY2020-21,495320,40,4870,0,87052,1,82182,74400.00602470184
ORD100031,Debit Card,+919142547392,Delhi,REF79363,West,SKU1900,IN445340,Andhra Pradesh,Returned,user_31,FY2020-21,287296,18,4709,4,1916,2,-877,-907.1865252720305
ORD100032,Cash on Delivery,+917290844139,Bangalore,REF90888,North,SKU6852,IN762003,Himachal Pradesh,Returned,user_32,FY2020-21,349204,50,3687,3,45501,1,41814,38155.9992993008
ORD100033,Net Banking,+916469896399,Hyderabad,REF41020,East,SKU2543,IN102614,Nagaland,Returned,user_33,FY2020-21,203113,26,4442,45,9391,3,23731,24060.438526800786
ORD100034,Credit Card,+916065223950,Kolkata,REF70017,East,SKU6261,IN491591,Meghalaya,Returned,user_34,FY2020-21,186190,58,1555,17,54516,2,107477,106595.58054908273
ORD100035,Credit Card,+917617231995,Bangalore,REF89723,West,SKU6080,IN399427,Andhra Pradesh,Delivered,user_35,FY2020-21,879177,40,2901,17,69150,2,135399,127383.07111410974
ORD100036,Credit Card,+918784634881,Pune,REF75548,Central,SKU1058,IN767118,Chhattisgarh,Delivered,user_36,FY2020-21,496759,53,3794,13,73681,1,69887,71675.06618790656
ORD100037,Net Banking,+917960787763,Delhi,REF29694,West,SKU2633,IN842579,Odisha,Cancelled,user_37,FY2020-21,291802,23,2552,13,12690,4,48208,49004.080508240084
ORD100038,Net Banking,+916820348826,Chennai,REF79781,Central,SKU1520,IN993244,Haryana,Cancelled,user_38,FY2020-21,930542,45,58,43,99306,3,297860,302763.9191535665
ORD100039,Credit Card,+916033639140,Hyderabad,REF71318,West,SKU2825,IN785306,Chhattisgarh,Delivered,user_39,FY2020-21,498470,49,3632,45,67577,4,266676,270025.4579977718
ORD100040,Debit Card,+918739366414,Jaipur,REF12365,South,SKU2643,IN188567,Chhattisgarh,Shipped,user_40,FY2020-21,647734,54,3726,26,22401,4,85878,87719.46483792311
ORD100041,Cash on Delivery,+919947021595,Lucknow,REF33132,West,SKU6992,IN131938,Chhattisgarh,Returned,user_41,FY2020-21,508835,47,4905,40,83864,3,246687,269989.56355150195
ORD100042,Cash on Delivery,+917401494235,Ahmedabad,REF51031,Central,SKU4482,IN338608,Tripura,Cancelled,user_42,FY2020-21,880815,22,2855,0,64007,2,125159,121498.13447746444
ORD100043,Debit Card,+917551409215,Lucknow,REF73064,North,SKU2420,IN924691,Odisha,Returned,user_43,FY2020-21,570273,21,3943,6,59033,2,114123,116155.25504723942
ORD100044,Net Banking,+918738450572,Lucknow,REF87025,North,SKU7224,IN417159,Nagaland,Shipped,user_44,FY2020-21,873499,26,566,0,57287,2,114008,124996.11145323154
ORD100045,UPI,+917298637925,Ahmedabad,REF48531,South,SKU6931,IN883712,Karnataka,Delivered,user_45,FY2020-21,563929,31,557,24,52421,2,104285,101724.87722999194
ORD100046,Net Banking,+916566093643,Mumbai,REF80516,West,SKU1974,IN907768,Manipur,Delivered,user_46,FY2020-21,865141,48,2078,39,3588,2,5098,4770.445229487098
ORD100047,Credit Card,+917178946951,Lucknow,REF65320,North,SKU3771,IN930886,Telangana,Cancelled,user_47,FY2020-21,437747,18,2366,2,6202,3,16240,15996.052386630474
ORD100048,Net Banking,+919094255828,Hyderabad,REF62848,North,SKU4931,IN318602,Assam,Shipped,user_48,FY2020-21,139999,19,2832,25,25439,1,22607,20691.465274765964
ORD100049,Cash on Delivery,+918421728097,Pune,REF18582,South,SKU8291,IN265906,Punjab,Returned,user_49,FY2020-21,524255,32,571,6,34353,3,102488,94117.64448736566
ORD100050,Cash on Delivery,+917149137669,Bangalore,REF32387,Central,SKU1852,IN961722,Delhi,Returned,user_50,FY2020-21,394553,57,1491,17,32795,4,129689,137682.62328850917
ORD100051,Debit Card,+918571601741,Chennai,REF51888,East,SKU6388,IN921588,Telangana,Cancelled,user_51,FY2020-21,882642,33,1115,13,87179,4,347601,363156.4833001841
ORD100052,Net Banking,+917630794844,Lucknow,REF18470,East,SKU7135,IN609493,Rajasthan,Delivered,user_52,FY2020-21,310550,45,4894,47,97294,4,384282,412510.9880094978
ORD100053,Debit Card,+917169121472,Delhi,REF49619,South,SKU2689,IN322268,West Bengal,Shipped,user_53,FY2020-21,692667,39,1593,30,22493,1,20900,20204.90059367626
ORD100054,Credit Card,+917326220900,Kolkata,REF26576,Central,SKU3354,IN959119,Kerala,Returned,user_54,FY2020-21,671698,53,320,47,81500,2,162680,170044.76614019272
ORD100055,UPI,+919130443889,Pune,REF24144,West,SKU3932,IN179942,Andhra Pradesh,Delivered,user_55,FY2020-21,815128,18,1306,39,84530,2,167754,168832.95680362429
ORD100056,Net Banking,+917862245966,Bangalore,REF30816,North,SKU8670,IN394567,Kerala,Cancelled,user_56,FY2020-21,377036,32,3261,43,90803,1,87542,91743.14320156611
ORD100057,UPI,+918967974819,Hyderabad,REF55387,East,SKU9775,IN110515,Uttar Pradesh,Cancelled,user_57,FY2020-21,845935,56,2900,11,55945,2,108990,113297.00629078079
ORD100058,Debit Card,+919109102052,Delhi,REF60613,South,SKU6466,IN472966,Goa,Delivered,user_58,FY2020-21,995270,33,4864,16,53213,1,48349,50425.009149874095
ORD100059,Net Banking,+917250801008,Hyderabad,REF91353,West,SKU2833,IN269835,Assam,Shipped,user_59,FY2020-21,853691,55,4351,10,77312,3,227585,236636.4953862026
ORD100060,Credit Card,+919660925613,Delhi,REF10155,East,SKU8358,IN949742,Haryana,Cancelled,user_60,FY2020-21,929245,36,563,0,7544,3,22069,19925.787539579076
ORD100061,UPI,+918045118356,Delhi,REF43775,North,SKU4499,IN671514,Bihar,Cancelled,user_61,FY2020-21,933844,57,1584,12,75018,3,223470,214145.27790203708
ORD100062,Cash on Delivery,+919153805285,Lucknow,REF50052,Central,SKU6452,IN698905,Uttar Pradesh,Delivered,user_62,FY2020-21,498749,56,616,13,13876,4,54888,51056.450642317104
ORD100063,Net Banking,+919752571861,Kolkata,REF74364,East,SKU2601,IN248126,Delhi,Returned,user_63,FY2020-21,881442,26,3643,3,81681,1,78038,80035.67762077138
ORD100064,Net Banking,+918862400693,Kolkata,REF53613,West,SKU7293,IN698973,Tamil Nadu,Shipped,user_64,FY2020-21,639159,30,1783,37,66488,2,131193,126170.51578262364
ORD100065,Net Banking,+918776660627,Hyderabad,REF39048,East,SKU3072,IN427078,Tripura,Returned,user_65,FY2020-21,353524,26,3137,32,86035,1,82898,78804.02869443991
ORD100066,Debit Card,+917713014860,Jaipur,REF64250,North,SKU9035,IN790760,Goa,Shipped,user_66,FY2020-21,377362,55,1680,23,82698,3,246414,237429.96790502273
ORD100067,Credit Card,+919060345479,Pune,REF82815,North,SKU3886,IN877406,Punjab,Shipped,user_67,FY2020-21,957329,35,1004,42,88941,3,265819,239377.8830545263
ORD100068,UPI,+918026378944,Jaipur,REF11813,West,SKU7822,IN508525,Maharashtra,Returned,user_68,FY2020-21,603234,37,2931,23,45129,1,42198,39156.050082256894
ORD100069,UPI,+916662598536,Jaipur,REF73402,East,SKU8907,IN279522,Delhi,Cancelled,user_69,FY2020-21,553268,55,3291,47,16676,3,46737,42558.54970239319
ORD100070,UPI,+918662550430,Kolkata,REF15842,North,SKU2540,IN577958,West Bengal,Delivered,user_70,FY2020-21,554927,51,2890,2,77979,1,75089,71883.02888095092
ORD100071,Net Banking,+919378763116,Pune,REF66856,South,SKU4217,IN578371,Andhra Pradesh,Shipped,user_71,FY2020-21,650743,32,252,38,29993,3,89727,89742.56753545106
ORD100072,Debit Card,+919370614306,Ahmedabad,REF13796,South,SKU2471,IN265173,Gujarat,Cancelled,user_72,FY2020-21,181866,41,1879,7,49841,1,47962,49709.26322278951
ORD100073,Net Banking,+916409983623,Mumbai,REF69508,Central,SKU8037,IN796328,Maharashtra,Returned,user_73,FY2020-21,862143,35,1201,45,46555,2,91909,100444.58062177547
ORD100074,Cash on Delivery,+916278060906,Kolkata,REF12959,North,SKU2706,IN819168,Kerala,Shipped,user_74,FY2020-21,221327,41,329,19,46291,2,92253,91631.26255245363
ORD100075,Net Banking,+916864616028,Lucknow,REF49116,North,SKU9536,IN350771,Tripura,Cancelled,user_75,FY2020-21,828566,53,625,42,98361,2,196097,214606.3587562998
ORD100076,Debit Card,+918841441325,Ahmedabad,REF95665,Central,SKU9596,IN987093,Rajasthan,Delivered,user_76,FY2020-21,452036,24,953,16,1189,4,3803,3672.542846430408
ORD100077,Net Banking,+919979748825,Chennai,REF34664,West,SKU2304,IN459070,Delhi,Shipped,user_77,FY2020-21,291498,39,3833,9,75881,3,223810,233563.8495913442
ORD100078,Net Banking,+919215919293,Jaipur,REF68846,South,SKU1324,IN286311,Manipur,Returned,user_78,FY2020-21,204267,52,2553,29,79702,4,316255,298235.3833103798
ORD100079,Cash on Delivery,+919579671010,Bangalore,REF18026,West,SKU5657,IN327924,Chhattisgarh,Returned,user_79,FY2020-21,935043,35,2974,46,18382,3,52172,52471.46196551768
ORD100080,Cash on Delivery,+916245297873,Mumbai,REF67060,South,SKU2645,IN212947,Meghalaya,Returned,user_80,FY2020-21,934690,53,1139,16,60349,4,240257,220893.65738897637
ORD100081,Credit Card,+917765329221,Bangalore,REF72142,South,SKU7310,IN560446,Andhra Pradesh,Delivered,user_81,FY2020-21,979440,58,794,41,94553,3,282865,277408.56891487166
ORD100082,Debit Card,+919834975834,Ahmedabad,REF12593,East,SKU3342,IN528401,Karnataka,Delivered,user_82,FY2020-21,740877,43,3908,4,21677,4,82800,87988.15627344542
ORD100083,Net Banking,+918706174451,Jaipur,REF79319,West,SKU8606,IN939998,Karnataka,Returned,user_83,FY2020-21,278886,21,2166,35,64570,3,191544,173991.10062660495
ORD100084,Cash on Delivery,+917263289776,Hyderabad,REF33458,West,SKU9804,IN587852,Andhra Pradesh,Delivered,user_84,FY2020-21,900697,45,4391,1,52347,4,204997,190003.58458276818
ORD100085,Cash on Delivery,+916950116213,Chennai,REF82037,East,SKU8468,IN807355,Punjab,Returned,user_85,FY2020-21,862154,32,2737,40,88608,2,174479,166562.75319892087
ORD100086,UPI,+916525927097,Lucknow,REF31855,North,SKU5007,IN330340,Jharkhand,Shipped,user_86,FY2020-21,689618,40,2720,9,42488,2,82256,81217.41909391436
ORD100087,Net Banking,+917677934316,Kolkata,REF28039,Central,SKU6137,IN134379,Himachal Pradesh,Returned,user_87,FY2020-21,852876,48,2251,49,33616,3,98597,92844.67637506982
ORD100088,UPI,+919959883405,Hyderabad,REF99628,East,SKU2959,IN232783,Manipur,Cancelled,user_88,FY2020-21,836542,19,2155,4,9291,3,25718,25291.52431511337
ORD100089,UPI,+916692288399,Bangalore,REF10866,South,SKU9933,IN878766,Maharashtra,Cancelled,user_89,FY2020-21,518889,41,1189,19,78978,3,235745,253454.57990131687
ORD100090,Debit Card,+916569631724,Kolkata,REF10279,North,SKU6726,IN764333,Maharashtra,Returned,user_90,FY2020-21,319730,26,3452,37,29179,4,113264,118534.50368557729
ORD100091,Net Banking,+917375169738,Kolkata,REF81719,Central,SKU5502,IN941203,Manipur,Delivered,user_91,FY2020-21,888181,52,1000,24,33919,1,32919,32504.926481991395
ORD100092,Debit Card,+916987746897,Mumbai,REF26290,West,SKU2863,IN418508,Karnataka,Cancelled,user_92,FY2020-21,790082,44,4949,38,98011,2,191073,190750.31725503897
ORD100093,Net Banking,+918656212882,Mumbai,REF85877,Central,SKU2253,IN999641,Kerala,Returned,user_93,FY2020-21,875199,54,4654,13,75447,3,221687,225860.6491977205
ORD100094,Net Banking,+918939883503,Mumbai,REF65092,West,SKU1833,IN473626,Nagaland,Shipped,user_94,FY2020-21,565749,27,4070,3,9398,4,33522,30323.897345952428
ORD100095,Credit Card,+918733189377,Chennai,REF84029,Central,SKU1094,IN828224,Himachal Pradesh,Returned,user_95,FY2020-21,429697,18,1402,16,37162,4,147246,139722.62103097138
ORD100096,Credit Card,+918331983525,Lucknow,REF81697,Central,SKU3937,IN933557,Haryana,Returned,user_96,FY2020-21,888412,30,3089,24,21101,1,18012,17626.495852367087
ORD100097,Credit Card,+917380251444,Kolkata,REF65653,West,SKU3607,IN586117,Uttarakhand,Delivered,user_97,FY2020-21,663288,44,473,25,88238,4,352479,333365.16708461003
ORD100098,Debit Card,+919162133787,Jaipur,REF25354,East,SKU1045,IN691560,West Bengal,Cancelled,user_98,FY2020-21,669362,23,1154,49,29076,4,115150,115340.22519008031
ORD100099,Cash on Delivery,+917055286098,Hyderabad,REF50554,Central,SKU5965,IN890949,Uttar Pradesh,Delivered,user_99,FY2020-21,936654,36,1393,30,11244,1,9851,8903.485676210652
ORD100100,Net Banking,+917761665030,Mumbai,REF84786,East,SKU6516,IN606232,Chhattisgarh,Shipped,user_100,FY2020-21,503194,25,39,2,94864,2,189689,177627.10635897142
ORD100101,Credit Card,+919395824217,Delhi,REF74305,South,SKU8511,IN769427,Karnataka,Returned,user_101,FY2020-21,620744,50,2162,49,74146,2,146130,154741.38730755082
ORD100102,Debit Card,+916954123351,Lucknow,REF39853,Central,SKU2940,IN475715,Karnataka,Shipped,user_102,FY2020-21,712955,27,4695,12,75878,1,71183,66681.93537933778
ORD100103,Credit Card,+918733861879,Delhi,REF41890,West,SKU1473,IN980136,Rajasthan,Cancelled,user_103,FY2020-21,940368,34,348,18,20120,3,60012,56098.12166196451
ORD100104,Cash on Delivery,+919557777281,Delhi,REF18484,West,SKU7110,IN575624,Manipur,Cancelled,user_104,FY2020-21,684182,32,3284,38,63309,2,123334,122361.65366775164
ORD100105,Debit Card,+919563576877,Ahmedabad,REF94934,North,SKU8154,IN662474,Uttarakhand,Cancelled,user_105,FY2020-21,883980,50,3208,45,98674,4,391488,421755.7858603295
ORD100106,Credit Card,+918845063736,Pune,REF61396,West,SKU1677,IN122294,Kerala,Returned,user_106,FY2020-21,385667,33,590,24,29668,3,88414,79826.06636803476
ORD100107,UPI,+918908039074,Ahmedabad,REF36658,West,SKU4558,IN405221,Rajasthan,Delivered,user_107,FY2020-21,173665,50,2438,13,32567,3,95263,98064.61999819831
ORD100108,UPI,+919473063991,Kolkata,REF36397,West,SKU5957,IN678686,Manipur,Returned,user_108,FY2020-21,835673,25,4768,49,90297,2,175826,192963.513174902
ORD100109,Net Banking,+918765269131,Pune,REF89372,South,SKU8860,IN255401,Karnataka,Returned,user_109,FY2020-21,256227,55,2911,44,538,1,-2373,-2271.2738413967395
ORD100110,UPI,+918332819008,Delhi,REF90596,North,SKU8347,IN586234,Jharkhand,Returned,user_110,FY2020-21,495519,25,3249,13,16238,3,45465,47626.827088896025
ORD100111,Credit Card,+919448188995,Lucknow,REF13382,West,SKU1604,IN905883,Telangana,Returned,user_111,FY2020-21,353415,48,2693,41,85727,4,340215,353508.75228679
ORD100112,Credit Card,+917059237794,Delhi,REF41323,North,SKU4484,IN907241,Assam,Delivered,user_112,FY2020-21,546606,23,375,40,76440,2,152505,165152.07514472352
ORD100113,UPI,+917213365960,Ahmedabad,REF43722,West,SKU2688,IN582293,Odisha,Delivered,user_113,FY2020-21,787202,51,540,3,76118,1,75578,72097.94193024382
ORD100114,Credit Card,+919206219298,Delhi,REF81567,West,SKU7483,IN653157,Uttar Pradesh,Shipped,user_114,FY2020-21,698086,44,3403,28,64907,2,126411,136545.59105299332
ORD100115,Net Banking,+918738851007,Bangalore,REF87622,East,SKU3825,IN540427,Punjab,Cancelled,user_115,FY2020-21,895565,25,1153,17,94823,4,378139,393068.23069972865
ORD100116,Credit Card,+918795780407,Mumbai,REF56082,West,SKU1247,IN410471,Bihar,Delivered,user_116,FY2020-21,316542,24,4186,48,7467,1,3281,3166.226542326547
ORD100117,Net Banking,+917941293648,Bangalore,REF57619,West,SKU6079,IN763773,Gujarat,Cancelled,user_117,FY2020-21,743990,20,1517,8,97044,1,95527,97661.84616586918
ORD100118,Debit Card,+918265727112,Hyderabad,REF35992,Central,SKU7411,IN898990,Delhi,Cancelled,user_118,FY2020-21,276599,38,4681,14,45848,1,41167,40300.07845899157
ORD100119,Cash on Delivery,+918520789203,Lucknow,REF16640,East,SKU4587,IN654904,Haryana,Shipped,user_119,FY2020-21,369797,29,4571,38,87763,1,83192,90901.39604194865
ORD100120,Credit Card,+918061937009,Hyderabad,REF18324,East,SKU4496,IN944285,Manipur,Returned,user_120,FY2020-21,137658,55,1363,44,25873,1,24510,25198.623325356286
ORD100121,Debit Card,+919698381455,Kolkata,REF94234,East,SKU1726,IN823393,Tripura,Returned,user_121,FY2020-21,568266,40,4325,10,32221,2,60117,58446.54180045994
ORD100122,Net Banking,+917449568309,Bangalore,REF35108,North,SKU2472,IN565323,Karnataka,Shipped,user_122,FY2020-21,956418,41,2695,16,44442,1,41747,38087.60973651512
ORD100123,UPI,+919148779640,Hyderabad,REF30371,South,SKU9015,IN798903,Tripura,Cancelled,user_123,FY2020-21,729229,26,4086,31,40679,3,117951,118866.34410855426
ORD100124,Net Banking,+917438855931,Hyderabad,REF27237,South,SKU7193,IN497889,Nagaland,Delivered,user_124,FY2020-21,236309,23,2580,4,71504,2,140428,153724.04810101553
ORD100125,Net Banking,+916916723289,Bangalore,REF14841,South,SKU2291,IN567886,Uttar Pradesh,Shipped,user_125,FY2020-21,578831,29,687,5,38423,4,153005,164116.57285023938
ORD100126,Credit Card,+918601674297,Pune,REF75324,North,SKU1747,IN895280,West Bengal,Returned,user_126,FY2020-21,391948,27,1409,35,36821,4,145875,160292.1904780375
ORD100127,Credit Card,+918779194000,Mumbai,REF69187,North,SKU1583,IN131270,Punjab,Returned,user_127,FY2020-21,938289,35,1089,38,92911,1,91822,95212.79068592418
ORD100128,Debit Card,+918416227211,Pune,REF23075,Central,SKU8587,IN461948,Odisha,Cancelled,user_128,FY2020-21,950019,27,790,14,19176,1,18386,17909.759659957806
ORD100129,Debit Card,+919528224501,Pune,REF95558,South,SKU4902,IN541682,Madhya Pradesh,Delivered,user_129,FY2020-21,344773,37,3748,13,57942,4,228020,237093.61152149254
ORD100130,Cash on Delivery,+919997364512,Mumbai,REF36630,North,SKU6758,IN696922,Chhattisgarh,Cancelled,user_130,FY2020-21,144168,32,2809,19,77045,1,74236,66936.88309875256
ORD100131,Cash on Delivery,+916510405476,Delhi,REF45921,Central,SKU8146,IN796552,Nagaland,Shipped,user_131,FY2020-21,111924,49,2918,7,23082,3,66328,72342.39023206513
ORD100132,Net Banking,+918426462163,Kolkata,REF93523,East,SKU9034,IN676843,Madhya Pradesh,Returned,user_132,FY2020-21,437591,31,223,29,13950,3,41627,37530.06465430854
ORD100133,Cash on Delivery,+918923916053,Lucknow,REF23234,Central,SKU7169,IN115965,Assam,Returned,user_133,FY2020-21,159828,58,3475,3,81477,2,159479,159018.21145385556
ORD100134,Debit Card,+919252510822,Ahmedabad,REF81529,West,SKU8510,IN522993,Manipur,Delivered,user_134,FY2020-21,959474,52,551,47,79761,3,238732,257759.88579220357
ORD100135,Debit Card,+917285516031,Delhi,REF60771,South,SKU4422,IN132127,Jharkhand,Delivered,user_135,FY2020-21,804637,59,2648,35,76681,2,150714,148037.47534627357
ORD100136,Net Banking,+919624486885,Hyderabad,REF15228,Central,SKU3184,IN739686,Telangana,Returned,user_136,FY2020-21,992055,30,3484,5,56222,4,221404,220671.63773361628
ORD100137,Net Banking,+916491202256,Mumbai,REF48457,South,SKU7575,IN886665,Nagaland,Delivered,user_137,FY2020-21,458168,52,2997,24,16973,4,64895,68720.51029667708
ORD100138,Net Banking,+919238811535,Hyderabad,REF44691,West,SKU4584,IN898369,Himachal Pradesh,Delivered,user_138,FY2020-21,619918,43,4786,35,70812,4,278462,252248.60892065297
ORD100139,Debit Card,+916989172040,Lucknow,REF77861,West,SKU3005,IN362786,Telangana,Shipped,user_139,FY2020-21,234854,25,2177,32,48039,2,93901,91506.19773955084
ORD100140,UPI,+916778841924,Mumbai,REF93770,North,SKU2589,IN560530,Goa,Cancelled,user_140,FY2020-21,770909,33,1352,8,8154,2,14956,14912.515937836788
ORD100141,Debit Card,+916687373203,Chennai,REF63885,East,SKU1675,IN423237,Karnataka,Returned,user_141,FY2020-21,215012,20,1509,20,41881,3,124134,114126.78512964831
ORD100142,Cash on Delivery,+916992232303,Pune,REF27033,West,SKU8330,IN342283,Uttar Pradesh,Delivered,user_142,FY2020-21,604477,22,1988,25,62775,3,186337,196515.92174039636
ORD100143,Credit Card,+916070599220,Chennai,REF87384,West,SKU6950,IN787671,Meghalaya,Cancelled,user_143,FY2020-21,834023,28,4989,32,40782,1,35793,39359.1800945995
ORD100144,UPI,+916755950406,Chennai,REF33418,North,SKU3875,IN332454,Haryana,Cancelled,user_144,FY2020-21,216886,40,803,6,75875,3,226822,230809.85934811362
ORD100145,Net Banking,+917139335074,Chennai,REF93660,North,SKU8263,IN232101,Odisha,Delivered,user_145,FY2020-21,221406,59,4226,40,56834,3,166276,173905.6908371497
ORD100146,UPI,+916859197439,Lucknow,REF62006,Central,SKU3348,IN651695,Chhattisgarh,Cancelled,user_146,FY2020-21,311601,44,1878,9,32085,4,126462,137679.1479944771
ORD100147,UPI,+919603062576,Kolkata,REF42874,West,SKU2194,IN912908,Meghalaya,Returned,user_147,FY2020-21,167057,18,2260,34,64134,3,190142,176310.0520792437
ORD100148,Credit Card,+916619179252,Mumbai,REF26920,West,SKU3932,IN747155,Manipur,Shipped,user_148,FY2020-21,402515,52,1465,4,97783,3,291884,317659.71048096777
ORD100149,Credit Card,+919447318931,Hyderabad,REF68205,South,SKU9212,IN347252,Telangana,Shipped,user_149,FY2020-21,740264,30,3943,1,76916,4,303721,300985.28030139446
ORD100150,UPI,+916198863848,Ahmedabad,REF79731,Central,SKU8823,IN805237,Gujarat,Returned,user_150,FY2020-21,102494,55,3190,33,52240,3,153530,159206.3746665529
ORD100151,UPI,+918373993473,Delhi,REF61784,South,SKU9237,IN699453,Haryana,Delivered,user_151,FY2020-21,128361,21,301,15,75390,2,150479,163223.59990845717
